[0.000000] (-) TimerEvent: {}
[0.000224] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000294] (-) JobUnselected: {'identifier': 'gripper_minimal_service'}
[0.000346] (-) JobUnselected: {'identifier': 'gripper_minimal_subscriber'}
[0.000396] (-) JobUnselected: {'identifier': 'hans_modular_gazebo'}
[0.000445] (-) JobUnselected: {'identifier': 'hans_t30_description'}
[0.000519] (-) JobUnselected: {'identifier': 'hans_t49_description'}
[0.000569] (-) JobUnselected: {'identifier': 'hans_t9_4_description'}
[0.000618] (-) JobUnselected: {'identifier': 'hrim_actuator_gripper_msgs'}
[0.000666] (-) JobUnselected: {'identifier': 'hrim_actuator_gripper_srvs'}
[0.000712] (-) JobUnselected: {'identifier': 'hrim_actuator_rotaryservo_actions'}
[0.000752] (-) JobUnselected: {'identifier': 'hrim_actuator_rotaryservo_msgs'}
[0.000787] (-) JobUnselected: {'identifier': 'hrim_actuator_rotaryservo_srvs'}
[0.000822] (-) JobUnselected: {'identifier': 'hrim_generic_msgs'}
[0.000859] (-) JobUnselected: {'identifier': 'hrim_generic_srvs'}
[0.000902] (-) JobUnselected: {'identifier': 'hros_cognition_mara_components'}
[0.000946] (-) JobUnselected: {'identifier': 'individual_trajectories_bridge'}
[0.000992] (-) JobUnselected: {'identifier': 'mara_bringup'}
[0.001040] (-) JobUnselected: {'identifier': 'mara_contact_publisher'}
[0.001087] (-) JobUnselected: {'identifier': 'mara_description'}
[0.001136] (-) JobUnselected: {'identifier': 'mara_gazebo'}
[0.001180] (-) JobUnselected: {'identifier': 'mara_gazebo_plugins'}
[0.001225] (-) JobUnselected: {'identifier': 'mara_minimal_publisher'}
[0.001267] (-) JobUnselected: {'identifier': 'mara_minimal_subscriber'}
[0.001308] (-) JobUnselected: {'identifier': 'mara_minimal_trajectory_action'}
[0.001346] (-) JobUnselected: {'identifier': 'mara_utils_scripts'}
[0.001387] (-) JobUnselected: {'identifier': 'robotiq_140_gripper_description'}
[0.001431] (-) JobUnselected: {'identifier': 'robotiq_85_gripper_description'}
[0.001475] (-) JobUnselected: {'identifier': 'robotiq_gazebo'}
[0.001520] (-) JobUnselected: {'identifier': 'robotiq_gripper_gazebo_plugins'}
[0.001565] (-) JobUnselected: {'identifier': 'robotiq_hande_gripper_description'}
[0.004080] (-) EventReactorShutdown: {}
