[0.000000] (-) TimerEvent: {}
[0.000224] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000551] (-) JobUnselected: {'identifier': 'gripper_minimal_service'}
[0.000822] (-) JobUnselected: {'identifier': 'gripper_minimal_subscriber'}
[0.000917] (-) JobUnselected: {'identifier': 'hans_modular_gazebo'}
[0.000973] (-) JobUnselected: {'identifier': 'hans_t30_description'}
[0.001107] (-) JobUnselected: {'identifier': 'hans_t49_description'}
[0.001226] (-) JobUnselected: {'identifier': 'hans_t9_4_description'}
[0.001353] (-) JobUnselected: {'identifier': 'hrim_actuator_gripper_msgs'}
[0.001435] (-) JobUnselected: {'identifier': 'hrim_actuator_gripper_srvs'}
[0.001494] (-) JobUnselected: {'identifier': 'hrim_actuator_rotaryservo_actions'}
[0.001555] (-) JobUnselected: {'identifier': 'hrim_actuator_rotaryservo_msgs'}
[0.001612] (-) JobUnselected: {'identifier': 'hrim_actuator_rotaryservo_srvs'}
[0.001668] (-) JobUnselected: {'identifier': 'hrim_generic_msgs'}
[0.001709] (-) JobUnselected: {'identifier': 'hrim_generic_srvs'}
[0.001741] (-) JobUnselected: {'identifier': 'hros_cognition_mara_components'}
[0.001771] (-) JobUnselected: {'identifier': 'individual_trajectories_bridge'}
[0.001800] (-) JobUnselected: {'identifier': 'mara_bringup'}
[0.001830] (-) JobUnselected: {'identifier': 'mara_contact_publisher'}
[0.001860] (-) JobUnselected: {'identifier': 'mara_description'}
[0.001896] (-) JobUnselected: {'identifier': 'mara_gazebo'}
[0.001927] (-) JobUnselected: {'identifier': 'mara_gazebo_plugins'}
[0.001956] (-) JobUnselected: {'identifier': 'mara_minimal_publisher'}
[0.001986] (-) JobUnselected: {'identifier': 'mara_minimal_subscriber'}
[0.002015] (-) JobUnselected: {'identifier': 'mara_minimal_trajectory_action'}
[0.002044] (-) JobUnselected: {'identifier': 'mara_utils_scripts'}
[0.002074] (-) JobUnselected: {'identifier': 'robotiq_140_gripper_description'}
[0.002104] (-) JobUnselected: {'identifier': 'robotiq_85_gripper_description'}
[0.002133] (-) JobUnselected: {'identifier': 'robotiq_gazebo'}
[0.002162] (-) JobUnselected: {'identifier': 'robotiq_gripper_gazebo_plugins'}
[0.002191] (-) JobUnselected: {'identifier': 'robotiq_hande_gripper_description'}
[0.002221] (-) EventReactorShutdown: {}
